[1687] ['2', '6', '6', '47'] -> (((6 / 6) + 47) / 2)
[1688] ['2', '6', '6', '49'] -> ((49 - (6 / 6)) / 2)
[1705] ['2', '5', '13', '36'] -> (36 / ((13 / 2) - 5))
[1713] ['2', '5', '15', '40'] -> (40 / (2 - (5 / 15)))
[1731] ['2', '5', '20', '42'] -> (42 / (2 - (5 / 20)))
[1732] ['2', '5', '20', '44'] -> (((20 / 5) + 44) / 2)
[1744] ['2', '5', '25', '38'] -> ((25 / 5) + (38 / 2))
[1745] ['2', '5', '25', '43'] -> (((25 / 5) + 43) / 2)
[1756] ['2', '6', '30', '43'] -> (((30 / 6) + 43) / 2)
[1762] ['2', '6', '33', '37'] -> ((33 / 6) + (37 / 2))
[1767] ['2', '6', '35', '39'] -> ((35 / 2) + (39 / 6))
[1772] ['2', '6', '41', '42'] -> (((42 / 6) + 41) / 2)
[1784] ['2', '7', '7', '46'] -> ((46 / 2) + (7 / 7))
[1785] ['2', '7', '7', '47'] -> (((7 / 7) + 47) / 2)
[1786] ['2', '7', '7', '49'] -> ((49 - (7 / 7)) / 2)
[1802] ['2', '7', '11', '36'] -> (36 / (7 - (11 / 2)))
[1804] ['2', '7', '12', '15'] -> (12 / ((15 / 2) - 7))
[1812] ['2', '7', '35', '43'] -> (((35 / 7) + 43) / 2)
[1818] ['2', '7', '41', '49'] -> (((49 / 7) + 41) / 2)
[1819] ['2', '7', '42', '44'] -> (44 / (2 - (7 / 42)))
[1825] ['2', '8', '8', '46'] -> ((46 / 2) + (8 / 8))
[1826] ['2', '8', '8', '47'] -> (((8 / 8) + 47) / 2)
[1827] ['2', '8', '8', '49'] -> ((49 - (8 / 8)) / 2)
[1842] ['2', '8', '12', '15'] -> (12 / (8 - (15 / 2)))
[1844] ['2', '8', '12', '45'] -> ((12 / 8) + (45 / 2))
[1849] ['2', '8', '13', '36'] -> (36 / (8 - (13 / 2)))
[1863] ['2', '8', '16', '47'] -> ((47 / 2) + (8 / 16))
[1864] ['2', '8', '16', '49'] -> ((49 / 2) - (8 / 16))
[1875] ['2', '8', '19', '36'] -> (36 / ((19 / 2) - 8))
[1885] ['2', '8', '21', '23'] -> (21 / ((23 / 8) - 2))
[1902] ['2', '8', '25', '27'] -> (27 / ((25 / 8) - 2))
[1917] ['2', '8', '28', '41'] -> ((28 / 8) + (41 / 2))
[1921] ['2', '8', '29', '39'] -> (39 / ((29 / 8) - 2))
[1924] ['2', '8', '30', '42'] -> (42 / ((30 / 8) - 2))
[1929] ['2', '8', '32', '42'] -> (42 / (2 - (8 / 32)))
[1936] ['2', '8', '36', '39'] -> ((36 / 8) + (39 / 2))
[1944] ['2', '7', '14', '36'] -> (36 / (2 - (7 / 14)))
[1946] ['2', '7', '14', '49'] -> ((49 / 2) - (7 / 14))
[1969] ['2', '7', '21', '45'] -> (((21 / 7) + 45) / 2)
[1982] ['2', '7', '28', '44'] -> (((28 / 7) + 44) / 2)
[1994] ['2', '12', '12', '47'] -> (((12 / 12) + 47) / 2)
[1995] ['2', '12', '12', '49'] -> ((49 - (12 / 12)) / 2)
[1996] ['2', '12', '14', '27'] -> (12 / (14 - (27 / 2)))
[1997] ['2', '12', '14', '35'] -> (12 / ((35 / 14) - 2))
[2001] ['2', '12', '15', '31'] -> (12 / ((31 / 2) - 15))
[2003] ['2', '12', '16', '31'] -> (12 / (16 - (31 / 2)))
[2004] ['2', '12', '16', '33'] -> (12 / ((33 / 2) - 16))
[2007] ['2', '12', '17', '33'] -> (12 / (17 - (33 / 2)))
[2008] ['2', '12', '18', '35'] -> (12 / (18 - (35 / 2)))
[2009] ['2', '12', '18', '37'] -> (12 / ((37 / 2) - 18))
[2010] ['2', '12', '19', '39'] -> (12 / ((39 / 2) - 19))
[2011] ['2', '12', '20', '39'] -> (12 / (20 - (39 / 2)))
[2012] ['2', '12', '20', '41'] -> (12 / ((41 / 2) - 20))
[2014] ['2', '12', '21', '41'] -> (12 / (21 - (41 / 2)))
[2015] ['2', '12', '21', '43'] -> (12 / ((43 / 2) - 21))
[2016] ['2', '12', '22', '33'] -> (12 / (2 - (33 / 22)))
[2018] ['2', '12', '22', '43'] -> (12 / (22 - (43 / 2)))
[2019] ['2', '12', '22', '45'] -> (12 / ((45 / 2) - 22))
[2020] ['2', '12', '23', '45'] -> (12 / (23 - (45 / 2)))
[2023] ['2', '12', '26', '39'] -> (12 / (2 - (39 / 26)))
[2034] ['2', '10', '30', '45'] -> (((30 / 10) + 45) / 2)
[2041] ['2', '10', '35', '41'] -> ((35 / 10) + (41 / 2))
[2043] ['2', '10', '39', '45'] -> ((39 / 2) + (45 / 10))
[2044] ['2', '10', '40', '40'] -> ((40 / 10) + (40 / 2))
[2052] ['2', '11', '11', '47'] -> (((11 / 11) + 47) / 2)
[2053] ['2', '11', '11', '49'] -> ((49 - (11 / 11)) / 2)
[2066] ['2', '8', '37', '44'] -> ((37 / 2) + (44 / 8))
[2068] ['2', '8', '38', '40'] -> ((38 / 2) + (40 / 8))
[2071] ['2', '8', '40', '43'] -> (((40 / 8) + 43) / 2)
[2084] ['2', '9', '9', '46'] -> ((46 / 2) + (9 / 9))
